word	part_of_speech	major	minor
무기	명사	정치와 행정	무기
무기력	명사	인간	능력
무난하다	형용사	인간	성격
무난하다	형용사	인간	성격
무더위	명사	자연	기상 및 기후
무덥다	형용사	자연	기상 및 기후
무뚝뚝하다	형용사	인간	성격
무려	부사	개념	수
무력01	명사	정치와 행정	정치 및 치안 상태
무렵	의존명사	개념	시간
무례	명사	인간	태도
무료01	명사	경제생활	경제 행위
무르다03	형용사	인간	성격
무르익다	동사	동식물	동식물 행위
무릎	명사	인간	신체 부위
무모하다	형용사	인간	태도
무병장수00	명사	인간	체력 상태
무분별	명사	인간	태도
무상02	명사	경제생활	경제 상태
무서워하다	동사	인간	감정
무선	명사	사회생활	통신 행위
무섭다	형용사	인간	감정
무성하다	형용사	개념	양
무소식	명사	사회생활	사회 생활 상태
무수하다	형용사	개념	수
무수히	부사	개념	수
무술	명사	삶	여가 활동
무슨	관형사	개념	의문
무시무시하다	형용사	인간	감정
무식	명사	인간	능력
무심코	부사	인간	태도
무심히	부사	인간	태도
무언	명사	사회생활	언어 행위
무엇	대명사	개념	의문
무역	명사	경제생활	경제 행위
무용03	명사	문화	예술
무응답	명사	사회생활	언어 행위
무인도	명사	자연	지형
무작정01/ 무작정02	명사/부사	인간	태도
무지개	명사	자연	기상 및 기후
무차별적01/ 무차별적02	관형사∙명사	인간	태도
무척	부사	개념	정도
무한	명사	개념	양
무형	명사	개념	모양
묵념	명사	인간	인지 행위
묵다01	동사	개념	성질
묵다02	동사	주생활	주거 행위
묵묵히	부사	인간	태도
묵직하다	형용사	개념	성질
묶다	동사	인간	신체 행위
묶다	동사	인간	신체 행위
묶이다	동사	인간	신체 행위
묶이다	동사	인간	신체 행위
문02	명사	주생활	주택 구성
문과	명사	교육	전공과 교과목
문구01	명사	사회생활	소통 수단
문단01	명사	교육	학문 용어
문안02	명사	사회생활	소통 수단
문어02	명사	동식물	동물류
문의	명사	사회생활	언어 행위
문지르다	동사	인간	신체 행위
문학	명사	문화	문학
문헌	명사	사회생활	매체
문화	명사	문화	문화 활동
문화생활	명사	문화	문화 활동
문화유산	명사	문화	전통문화
문화재	명사	문화	전통문화
묻다03	동사	사회생활	언어 행위
물01	명사	식생활	음료
물가01	명사	개념	지역
물가02	명사	경제생활	경제 수단
물고기	명사	동식물	동물류
물끄러미	부사	인간	태도
물다01	동사	동식물	동식물 행위
물들이다	동사	인간	신체 행위
물량	명사	개념	양
물러가다	동사	사회생활	사회 활동
물려받다	동사	경제생활	경제 행위
물려주다	동사	경제생활	경제 행위
물리	명사	교육	전공과 교과목
물리적01/ 물리적02	관형사∙명사	개념	성질
물리치다	동사	사회생활	사회 활동
물방울	명사	개념	모양
물약	명사	삶	약품류
물어보다	동사	사회생활	언어 행위
물음	명사	사회생활	언어 행위
물자	명사	경제생활	경제 산물
물질적01∙물질적02	관형사∙명사	경제생활	경제 행위
물품	명사	경제생활	경제 산물
뭉클하다	형용사	인간	감정
뭐01	대명사	개념	의문
뮤지컬	명사	문화	대중문화
미01	명사	개념	성질
미각	명사	인간	감각
미국	명사	개념	지역
미국인00	명사	인간	사람의 종류
미끄러지다	동사	인간	신체 행위
미끄럽다	형용사	개념	성질
미남	명사	인간	사람의 종류
미녀	명사	인간	사람의 종류
미니	명사	개념	모양
미덕	명사	인간	태도
미디어	명사	사회생활	매체
미래	명사	개념	시간
미련02	명사	인간	감정
미루다	동사	개념	시간
미리	부사	개념	시간
미만	명사	개념	수
미모	명사	인간	용모
미묘하다	형용사	개념	성질
미사	명사	종교	종교 행위
미성년자	명사	인간	사람의 종류
미소	명사	인간	신체 행위
미숙하다	형용사	인간	능력
미술	명사	문화	미술
미술가	명사	문화	문화 활동 주체
미술관	명사	문화	문화생활 장소
미아	명사	인간	사람의 종류
미안	명사	인간	감정
미약하다	형용사	인간	능력
미어지다	동사	인간	감정
미역02	명사	식생활	식재료
